"property_id";"location_id";"page_url";"property_type";"price";"location";"city";"province_name";"latitude";"longitude";"baths";"area";"purpose";"bedrooms";"date_added";"agency";"agent"
347795;8;"https://www.zameen.com/Property/lahore_model_town_6_kanal_excellent_house_for_sale_in_model_town-347795-8-1.html";"House";220000000;"Model Town";"Lahore";"Punjab";31.483868658082;74.325685501099;0;"6 Kanal";"For Sale";0;"07-17-2019";"Real Biz International";"Usama Khan"
482892;48;"https://www.zameen.com/Property/lahore_multan_road_1_kanal_house_for_sale-482892-48-1.html";"House";40000000;"Multan Road";"Lahore";"Punjab";31.431593;74.17998;5;"1 Kanal";"For Sale";5;"10-06-2018";"Khan Estate";"mohsinkhan and B"
555962;75;"https://www.zameen.com/Property/eden_eden_avenue_9_marla_house_for_sale-555962-75-1.html";"House";9500000;"Eden";"Lahore";"Punjab";31.499348;74.416959;0;"9 Marla";"For Sale";3;"07-03-2019";"Shahum Estate 2";"Babar Hameed, Raja Omar"
562843;3821;"https://www.zameen.com/Property/gulberg_2_gulberg_2_block_s_semi_commercial_house_for_sale_near_mm_alam_price_negotiable-562843-3821-1.html";"House";125000000;"Gulberg";"Lahore";"Punjab";31.522069;74.355512;7;"1 Kanal";"For Sale";8;"04-04-2019";"";""
686990;3522;"https://www.zameen.com/Property/allama_iqbal_town_allama_iqbal_town_raza_block_11_marla_house_for_sale_at_best_location_with_noc_ready-686990-3522-1.html";"House";21000000;"Allama Iqbal Town";"Lahore";"Punjab";31.506483;74.286017;5;"11 Marla";"For Sale";6;"04-04-2019";"";""
785289;3102;"https://www.zameen.com/Property/gulberg_paf_falcon_complex_matz_service_offer_1_kanal_house_for_sale-785289-3102-1.html";"House";52000000;"Gulberg";"Lahore";"Punjab";31.495909;74.350569;6;"1 Kanal";"For Sale";5;"06-02-2019";"MATZ Services";"Group Captain (R) Tajammul Baig"
891543;4031;"https://www.zameen.com/Property/military_accounts_housing_society_military_accounts_society_block_b_brand_new_8_marla_luxurious_house_for_sale_at_military_accounts_cooperative_hosing_society_phase_1_college_road_lahore_key_features_of_this_luxurious_house_are__6_bedrooms_with_attach_bath__powder_room__2_kitchens__2_tv_lounges__drawing_and_dining_room__c-891543-4031-1.html";"House";16500000;"Military Accounts Housing Society";"Lahore";"Punjab";31.421229;74.28556;7;"8 Marla";"For Sale";6;"07-03-2019";"";""
983065;3749;"https://www.zameen.com/Property/eme_society_eme_society_block_e_house_for_sale-983065-3749-1.html";"House";32500000;"EME Society";"Lahore";"Punjab";31.439978;74.209685;0;"1 Kanal";"For Sale";5;"07-03-2019";"Sukhera Estate & Builders";"Ahmed Sheraz Sukhera"
983066;3745;"https://www.zameen.com/Property/eme_society_eme_society_block_a_house_for_sale-983066-3745-1.html";"House";31500000;"EME Society";"Lahore";"Punjab";31.437744;74.21349;0;"1 Kanal";"For Sale";6;"07-03-2019";"Sukhera Estate & Builders";"Ahmed Sheraz Sukhera"
983075;3931;"https://www.zameen.com/Property/izmir_town_izmir_town_block_q_house_for_sale-983075-3931-1.html";"House";40000000;"Izmir Town";"Lahore";"Punjab";31.409106;74.181662;0;"1.6 Kanal";"For Sale";6;"07-03-2019";"Sukhera Estate & Builders";"Ahmed Sheraz Sukhera"
